TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,2,2024-07-20,67,The New Yorker A Wyndham Hotel,284,363,8.2,Very Good,4689,New York
1,2,2024-07-20,68,Hotel Boutique at Grand Central,288,363,8.6,Excellent,1086,New York
1,2,2024-07-20,69,Four Points By Sheraton New York Downtown,246,285,8.0,Very Good,1612,New York
1,2,2024-07-20,70,Grayson Hotel in the Unbound Collection by Hyatt,251,326,9.2,Wonderful,348,Central New York City
1,2,2024-07-20,71,"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",216,286,9.0,Wonderful,908,New York
1,2,2024-07-20,72,"Holiday Inn New York City - Times Square, an IHG Hotel",292,339,8.2,Very Good,1474,New York
1,2,2024-07-20,73,"Park South Hotel, part of JdV by Hyatt",240,313,9.2,Wonderful,1001,New York
1,2,2024-07-20,74,"Thompson Central Park New York, by Hyatt",315,405,9.0,Wonderful,628,New York
1,2,2024-07-20,75,Library Hotel by Library Hotel Collection,349,389,9.6,Exceptional,1003,New York
1,2,2024-07-20,76,"Hotel Indigo NYC Financial District, an IHG Hotel",237,275,9.2,Wonderful,415,New York
1,2,2024-07-20,77,The Hotel Chelsea,490,510,9.8,Exceptional,725,Chelsea
1,2,2024-07-20,78,Tempo by Hilton New York Times Square,465,577,9.4,Exceptional,2743,Theater District
1,2,2024-07-20,79,"The Bernic Hotel New York City, Tapestry Collection by Hilton",252,293,8.8,Excellent,1002,New York
1,2,2024-07-20,80,Four Points by Sheraton Midtown-Times Square,269,312,8.8,Excellent,1340,New York
1,2,2024-07-20,81,DoubleTree by Hilton Hotel New York City - Chelsea,267,310,7.8,Good,1092,Chelsea
1,2,2024-07-20,82,The Shelburne Sonesta New York,329,354,8.6,Excellent,1391,New York
1,2,2024-07-20,83,Hampton Inn Manhattan/Times Square Central,309,358,9.0,Wonderful,1634,Theater District
1,2,2024-07-20,84,Sheraton Tribeca New York Hotel,269,312,8.4,Very Good,1039,New York
1,2,2024-07-20,85,Hotel AKA NoMad,315,405,8.6,Excellent,1007,New York
1,2,2024-07-20,86,The Marlton Hotel,377,385,9.2,Wonderful,1004,Greenwich Village
1,2,2024-07-20,87,Fitzpatrick Manhattan Hotel,288,363,9.0,Wonderful,1006,New York
1,2,2024-07-20,88,The Bowery Hotel,505,569,9.4,Exceptional,452,New York
1,2,2024-07-20,89,Pendry Manhattan West,633,730,9.8,Exceptional,325,Chelsea
1,2,2024-07-20,90,Tuscany by LuxUrban,286,332,8.4,Very Good,1011,New York
1,2,2024-07-20,91,Hampton Inn Madison Square Garden Area Hotel,220,256,8.2,Very Good,1063,Chelsea
1,2,2024-07-20,92,JG Sohotel,311,382,8.6,Excellent,254,SoHo
1,2,2024-07-20,93,"The Draper New York, Tapestry Collection by Hilton",284,329,8.8,Excellent,740,New York
1,2,2024-07-20,94,The Prince Kitano New York,349,404,9.2,Wonderful,1545,New York
1,2,2024-07-20,95,Hotel Mulberry,269,312,9.0,Wonderful,1005,New York
