Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2008M02;-6.1
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2008M01;-5.6
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M12;-7.5
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M11;-7.4
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M10;-7.3
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M09;-7.3
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M08;-6.9
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M07;-6.7
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M06;-5.7
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M05;-5.5
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M04;-4.0
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M03;-4.7
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M02;-1.1
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2007M01;5.7
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M12;0.0
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M11;-0.1
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M10;0.1
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M09;0.2
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M08;0.5
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M07;0.2
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M06;-0.6
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M05;-0.1
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M04;-0.9
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M03;4.6
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M02;0.1
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2006M01;-6.0
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2005M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2004M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2003M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2002M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2001M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;2000M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1999M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1998M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1997M01;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M12;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M11;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M10;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M09;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M08;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M07;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M06;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M05;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M04;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M03;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M02;""
Total passengers;Special and unscheduled transport;;;;Year-to-date average variation rate;1996M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2024M04;31,754
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2024M03;27,431
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2024M02;30,187
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2024M01;29,090
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M12;22,112
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M11;31,782
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M10;31,135
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M09;25,207
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M08;6,351
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M07;7,826
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M06;27,332
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M05;33,065
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M04;23,668
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M03;35,012
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M02;29,326
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2023M01;27,584
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M12;24,225
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M11;34,106
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M10;32,393
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M09;27,621
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M08;5,824
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M07;7,695
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M06;28,056
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M05;34,515
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M04;26,151
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M03;35,626
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M02;31,563
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2022M01;27,122
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M12;23,277
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M11;33,248
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M10;31,235
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M09;26,029
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M08;5,082
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M07;7,308
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M06;26,714
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M05;32,035
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M04;29,085
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M03;31,585
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M02;29,203
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2021M01;24,959
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M12;22,974
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M11;31,465
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M10;31,383
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M09;23,581
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M08;4,084
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M07;5,786
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M06;4,882
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M05;3,866
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M04;4,006
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M03;17,562
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M02;31,093
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2020M01;30,706
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M12;23,759
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M11;32,250
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M10;35,505
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M09;26,052
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M08;5,850
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M07;8,724
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M06;27,079
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M05;35,208
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M04;27,596
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M03;31,927
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M02;31,812
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2019M01;32,299
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M12;23,966
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M11;33,871
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M10;35,411
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M09;25,284
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M08;5,277
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M07;7,627
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M06;27,506
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M05;34,562
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M04;30,608
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M03;30,403
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M02;30,525
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2018M01;30,144
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M12;22,491
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M11;33,515
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M10;32,223
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M09;24,899
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M08;5,069
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M07;7,441
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M06;27,296
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M05;34,092
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M04;24,440
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M03;35,843
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M02;31,080
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2017M01;28,835
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M12;24,044
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M11;34,241
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M10;32,045
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M09;26,822
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M08;5,624
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M07;7,570
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M06;27,345
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M05;33,709
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M04;33,393
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M03;29,363
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M02;31,797
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2016M01;27,527
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M12;24,433
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M11;33,110
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M10;33,389
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M09;25,747
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M08;5,192
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M07;8,172
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M06;27,101
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M05;32,672
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M04;29,026
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M03;33,145
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M02;31,015
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2015M01;29,340
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M12;25,405
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M11;33,233
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M10;36,072
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M09;26,135
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M08;5,523
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M07;8,566
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M06;27,670
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M05;34,822
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M04;28,462
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M03;34,183
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M02;33,261
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2014M01;31,551
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M12;25,733
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M11;35,111
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M10;38,610
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M09;27,008
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M08;5,832
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M07;9,287
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M06;29,648
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M05;38,379
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M04;35,437
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M03;32,916
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M02;35,316
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2013M01;33,956
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M12;24,888
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M11;33,742
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M10;35,675
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M09;25,336
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M08;5,849
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M07;8,438
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M06;29,514
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M05;37,512
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M04;28,173
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M03;37,138
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M02;34,917
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2012M01;31,262
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M12;27,012
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M11;35,802
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M10;34,284
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M09;27,227
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M08;5,889
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M07;8,066
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M06;30,114
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M05;36,584
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M04;29,947
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M03;36,818
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M02;35,413
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2011M01;30,432
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M12;29,086
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M11;38,968
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M10;36,967
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M09;28,782
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M08;6,298
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M07;8,584
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M06;33,188
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M05;38,732
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M04;34,303
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M03;38,227
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M02;36,284
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2010M01;31,652
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M12;31,553
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M11;40,859
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M10;39,872
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M09;29,902
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M08;6,707
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M07;9,093
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M06;34,625
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M05;39,906
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M04;35,735
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M03;40,334
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M02;39,139
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2009M01;36,127
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M12;32,481
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M11;39,875
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M10;42,159
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M09;29,298
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M08;7,637
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M07;10,094
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M06;35,808
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M05;42,579
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M04;41,272
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M03;34,878
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M02;40,554
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2008M01;38,825
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M12;33,796
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M11;43,910
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M10;46,195
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M09;31,052
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M08;10,089
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M07;12,167
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M06;37,724
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M05;46,136
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M04;37,174
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M03;46,111
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M02;43,419
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2007M01;41,515
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M12;36,402
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M11;47,090
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M10;48,204
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M09;32,809
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M08;10,230
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M07;13,783
