Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;;;;;Annual variation;2011M01;1.8
Total passengers;;;;;Annual variation;2010M12;-0.5
Total passengers;;;;;Annual variation;2010M11;0.1
Total passengers;;;;;Annual variation;2010M10;-2.8
Total passengers;;;;;Annual variation;2010M09;-0.6
Total passengers;;;;;Annual variation;2010M08;-1.3
Total passengers;;;;;Annual variation;2010M07;-3.6
Total passengers;;;;;Annual variation;2010M06;-2.5
Total passengers;;;;;Annual variation;2010M05;0.8
Total passengers;;;;;Annual variation;2010M04;1.9
Total passengers;;;;;Annual variation;2010M03;-0.5
Total passengers;;;;;Annual variation;2010M02;-2.4
Total passengers;;;;;Annual variation;2010M01;-5.4
Total passengers;;;;;Annual variation;2009M12;-2.5
Total passengers;;;;;Annual variation;2009M11;-1.7
Total passengers;;;;;Annual variation;2009M10;-5.5
Total passengers;;;;;Annual variation;2009M09;-2.7
Total passengers;;;;;Annual variation;2009M08;-3.9
Total passengers;;;;;Annual variation;2009M07;-4.5
Total passengers;;;;;Annual variation;2009M06;-1.9
Total passengers;;;;;Annual variation;2009M05;-3.0
Total passengers;;;;;Annual variation;2009M04;-11.1
Total passengers;;;;;Annual variation;2009M03;7.0
Total passengers;;;;;Annual variation;2009M02;-7.0
Total passengers;;;;;Annual variation;2009M01;-8.1
Total passengers;;;;;Annual variation;2008M12;0.2
Total passengers;;;;;Annual variation;2008M11;-3.9
Total passengers;;;;;Annual variation;2008M10;-1.6
Total passengers;;;;;Annual variation;2008M09;0.7
Total passengers;;;;;Annual variation;2008M08;-2.3
Total passengers;;;;;Annual variation;2008M07;1.0
Total passengers;;;;;Annual variation;2008M06;-3.4
Total passengers;;;;;Annual variation;2008M05;-5.2
Total passengers;;;;;Annual variation;2008M04;9.5
Total passengers;;;;;Annual variation;2008M03;-13.2
Total passengers;;;;;Annual variation;2008M02;2.5
